,seg
150,"['不能不要', '2022', '這麼', '換個', '性別', '覺得', '保守', '是不是']"
151,"['沒什麼', '大不了']"
152,"['前男友', '發洩', '彈藥', '搞不好', '一下', '只是']"
153,"['打炮', '跑出去']"
154,"['這麼', '測試', '對方', '瞧不起', '不堪', '一半', '是否', '自己']"
155,[]
156,"['實屬', '支語']"
157,"['愛做', '改變', '什麼', '女生', '只是', '不能']"
158,"['玩壞', '留住', '下去']"
159,['越渣']
160,"['平權', '這個', '時候', '不見', '男生', '一堆', '男女']"
161,"['喜歡', '愛就', '管道', '接受', '很多', '有些', '自己']"
162,[]
163,"['...', '說法', '問題', '漫畫裡', '這種', '劇情', '看到', '可能']"
164,"['東西', '什麼', '別人', '前男友', '不時', '在意', '眼光']"
165,"['很煩', '還是', '...', '覺得', '重視', '真心', '出自', '找到']"
166,"['東西', '驗證', '看看']"
167,"['拒絕', '物以', '類聚', '不會', '弱智', '一堆', '理由']"
168,['不會']
169,"['遇到', '愛啊', '還沒', '珍惜']"
170,"['教養', '不起', '墮胎', '負責', '表現', '硬生', '下來', '更是', '只是']"
171,[]
172,"['當時', '男能', '滿足', '條件', '遇到', '另外', '代表', '一直', '只有']"
173,"['洗腦', '那現', '變渣', '在意', '分手', '是不是', '朋友']"
174,"['生出', '不然']"
175,"['這什麼', '八點', '檔劇情', '要是', '真的']"
176,"['興奮', '宣傳', '朋友']"
177,"['還往', '形象']"
178,"['這部', '太認', '不必']"
179,"['說法', '一律', '保留', '方面']"
180,"['男來', '每次']"
181,"['應該', '他們', '談談', '經過', '好好']"
182,['接受']
183,"['過去', '也許', '未來', '參與', '一送', '缺席', '可以']"
184,"['建議', '哪來', '那麼', '廢話', '疙瘩', '分手']"
185,"['在意', '分手']"
186,"['觀點', '怎麼', '這個', '男生', '框架', '看看', '形成', '自己']"
187,"['他們', '幫助']"
188,"['很難', '實話', '這種', '過不去', '那個', '覺得', '不在意', '心理', '遇到']"
189,"['還是', '拖著', '這個', '放生', '吵架', '互相', '常常', '不要']"
190,"['繼續', '沒意義', '在意', '下去']"
191,['朋友']
192,['騷法']
193,"['男扁', '一頓', '死心塌地', '女生', '心理', '平衡']"
194,"['眾前', '問題', '人身安全', '小心']"
195,"['墮胎', '點在', '怎麼', '拿來', '白痴', '受孕', '愚蠢', '生下']"
196,"['墮胎', '問題', '生下', '代表']"
197,"['這就', '算好', '介意', '男人']"
198,"['女生', '多位', '不理']"
199,"['墮胎', '什麼']"
200,"['葡萄', '前男友', '不到']"
201,"['方都', '生還', '受孕', '愚蠢', '男女', '打算', '根本']"
202,"['女表', '女生']"
203,"['這又沒', '不過', '在意']"
204,"['高級', '怎知', '玩家', '女生']"
205,"['現在', '離婚', '這種', '在意', '分手', '一堆', '思考', '好好']"
206,"['實際', '上會伴', '隨各種', '習慣', '爆發', '自以', '包容', '一起', '生活']"
207,"['破麻', '態度', '變成', '只配', '待遇', '不久', '得到']"
208,"['一樣', '那些']"
209,"['不會', '拒絕', '人會', '盧小', '外遇', '遇到']"
210,"['不論', '原價', 'iPhone', '14', '男女', '心情']"
211,[]
212,['原價']
213,"['愛玩', '一兩個', '五六', '女生', '就算', '遇到', '知道', '自己']"
214,[]
215,"['什麼', '不給', '破麻', '機會', '真的']"
216,"['業者給', '回收']"
217,"['墮胎', '最傷', '女友', '女生', '心疼']"
218,"['有事', '眼光', '真的', '非常']"
219,"['愛玩', '現在', '飯票', '相信', '之前', '可能']"
220,"['改過', '女生', '朋友', '真的', '第二', '接受', '第一', '可以']"
221,"['炮友', '不戴套', '女生', '有些', '只是', '可以']"
222,"['講破麻', '腦袋', '一直']"
223,"['現實', '魯蛇', '女生', '大概', '世界']"
224,"['鼓勵', '回收']"
225,"['這麼', 'ww', '嘴巴']"
226,['拒絕']
227,"['秀恩愛', '男生', '幸福', '只要', '大家']"
228,"['必分', '還想', '肩膀', '有人']"
229,"['付處', '一樣', '贏了', '男生', '拿走', '朋友', '方式', '其他']"
230,"['六個', '男生追', '差點', '失敗', '朋友', '成功', '有人', '全部', '可是', '甚至', '只有']"
231,"['前男友', '來講', '以前', '炫耀', '成功', '事情', '一直', '自己']"
232,"['事實', '這好', '炫耀', '女孩', '成功', '一起', '可是']"
233,"['小學', '兩樣', '第一名', '常常']"
234,"['接受', '自己']"
235,"['怎麼講', '光輝', '歷史', '無法', '改變現', '輸家', '以前']"
236,"['回收', '做好']"
237,"['有疑慮', '會問', '建議', '分手', '一律']"
238,"['鼓勵', '回收']"
239,['過去']
240,"['疙瘩', '分手', '早晚', '只是']"
241,['結婚']
242,['回收']
243,['過不去']
244,"['換你', '懷孕', '不然', '朋友']"
245,['可悲']
246,"['這邊', '出來', '不在意', '一堆']"
247,"['愛玩', '斷定', '醒醒', '怎能', '不定', '全都', '遇到']"
248,"['一個', '拍不響', '巴掌']"
249,"['在意', '現在', '以後只']"
250,"['一個', '拍不響', '強迫', '巴掌']"
251,"['在意', '清楚', '了解', '不要']"
252,"['好巧', '樓上', '擊掌']"
253,[]
254,"['覺得', '處理', '那個']"
255,"['問題', '兩個', '朋友']"
256,"['謝拉', '回收']"
257,"['一種', '別人', '拋棄', '看起', '叫做']"
258,"['一個', '成為', '第七', '第六', '口中', '就算']"
259,"['拋棄', '第六']"
260,"['感覺', '拒絕', '結婚', '婚後前', '不然', '缺乏', '教育', '方法', '基本']"
261,"['不在', '纏爛', '糊塗當', '起跑', '男友', '犀利', '是不是']"
262,"['經歷過', '不會', '應付', '蒼蠅', '口述', '男友', '哼哼']"
263,"['前渣', '來亂', '什麼', '出現', '男友', '最近', '相信', '一般']"
264,"['不會', '沒風度', '這樣', '墮胎', '這件', '揭發', '而是', '可以']"
265,"['出現', '告訴', '什麼', '這時候', '故意', '目的']"
266,"['發現', '雙方', '思考', '也好', '男女', '好好', '可以']"
267,"['點是', '那個', '還是', '過胎', '前任', '在意', '所以']"
268,"['怎麼', '現任', '覺得', '打炮', '前任', '自己']"
269,"['魔術師', '過去', '干涉', '可以']"
270,"['玩爛', '沒人要', '準備', '回收', '做好', '心理', '自己']"
271,"['人家', '珍惜', '不想']"
272,"['不過', '想著', '下個', '還會', '同樣', '等級', '女友', '在意', '不要', '其他']"
273,"['條件', '這個', '缺點', '機會']"
274,"['設定', '時間', '調適', '沒辦法', '建議', '克服', '一段', '朋友']"
275,"['墮胎', '破麻']"
276,"['自求多福', '前任', '可以']"
277,"['我會', '墮胎', '影響子', '珍惜', '在意', '女孩', '只有']"
278,['健康']
279,"['說識', '不清']"
280,"['單親媽', '墮過', '胎算', '什麼', '就換', '介意', '可以']"
281,"['墮胎', '哪裡', '叫好', '回收', '女孩', '除非', '女人', '根本']"
282,"['業者', '這種', '有疑慮', '婚後也會', '繼續', '生育', '回收', '不然', '除了', '其他']"
283,"['這種', '楊花', '著過', '快逃', '拈花惹草', '水性', '男人']"
284,"['女友', '更好', '值得']"
285,"['這問題', '那還', '來問', '有救', '另一半', '接手', '自己']"
286,"['沒救', '大概']"
287,"['想過', '第七', '朋友']"
288,"['http', 'imgur', 'com', 'bchqy7p', 'jpg']"
289,"['反過', '男生', '女生', '接受', '一切']"
290,"['男歡', '女愛的', '那麼', '人家']"
291,"['問過', '這種', 'QQ', '男友']"
292,"['女友', '你連', '還敢', '男生', '帽子', '孩子']"
293,['多戴點']
294,"['這種', '問題', '挑戰', '去問', '挑戰性', '男生', '看看', '可以']"
295,"['什麼', '還在', '糾結', '墮胎', '年代']"
296,"['仇女', '亂舞', '有破麻', '墮胎', '份子', '狂喜']"
297,"['蜜意', '事關', '他們', '濃情', '時會感', '屁事', '打炮', '感情', '朋友']"
298,"['不會', '他們', '鬧分', '吵架', '付出', '介入', '但是']"
299,"['手時', '公親', '事主', '成年人', '想到', '大家', '工作']"
300,"['美國', '時間', '介入', '感情', '朋友', '所以']"
301,['結案']
302,"['台灣', '那麼', '無聊', '一堆', '而已', '知道']"
303,"['認同樓', '鄉民說', '難免', '女生', '遇到', '某些', '正常']"
304,"['有點', '問題', '這邊', '有問', '五六', '女生', '遇到', '是不是', '代表']"
305,"['之類', '層面', '女生', '想法', '心理', '不好', '可能']"
306,"['問題', '這事', '發生', '這個', '不解', '一再', '可能']"
307,"['好好', '機會', '觀察', '男生', '女生', '思考', '是不是', '真的', '一下']"
308,['合在一起']
309,"['完美', '我覺', '正因', '不到', '今天']"
310,"['美磨練', '接納', '對象', '如此', '而且']"
311,['朋友']
312,"['這是', '傳說', '業嗎', '收心', '玩完', '回收']"
313,"['樓下', 'doge', '支援']"
314,"['每個', '人能', '本來', '一樣', '接受', '另一半', '程度', '不能']"
315,"['曾經', '別人', '胎過']"
316,"['怎麼', '不在意', '可能']"
317,"['問題', '幾歲', '還被', '這樣', '女生', '眼光', '非常']"
318,"['一個', '導致', '負債', '你會', '怎麼', '想想', '多次', '今天']"
319,[]
320,"['放棄', '介意', '男方', '朋友']"
321,"['過以', '結婚', '前男友', '來亂', '思考', '情形', '不好', '真的']"
322,['想想']
323,"['這跟', '價值', '觀衝突', '不介意', '本身', '可能', '自己']"
324,"['受害者', '你門', '檢討', '女生']"
325,"['問題', '那麼', '單純', '女方', '老是', '遇到']"
326,"['阿法', '自助餐', '種什麼', '因得', '什麼果', '女權', '東食', '西宿', '人生', '刺激']"
327,"['墮胎', '找貝塔', '過去', '87%', '最大化', '在意', '回收', '利益', '不要']"
328,"['還是', '前男友', '斷絲連', '男渣', '女物', '以類', '繼續', '頭頂', '老公']"
329,['QQ']
330,"['過去', '但個', '性易', '前男友', '軟硬', '騙炮', '追求者', '兼施', '不管', '甚至']"
331,"['該感', '謝前', '認識', '女友']"
332,"['業者', '回收']"
333,['會裝']
334,"['價值觀', '看能', '改了', '偏差', '不能']"
335,"['確定', '這女', '介意', '不想', '相信']"
336,"['有什麼', '質疑', '不會介', '天女', '命中注定', '唯一']"
337,[]
338,"['重心', '做好', '女人', '身上', '全部', '不要', '自己']"
339,"['這個', '分手', '女生', '以前', '只要', '所以']"
340,"['真愛', '當作', '這件', '絕口', '往事', '任何']"
341,"['百年好合', '他們', '不會分', '照樣', 'XD', '概率', '很大']"
342,"['認真想', '一個', '對象', '標準', '除非', '真的']"
343,"['在意', '出來', '簡單']"
344,"['對象', '早點', '考慮', '不然', '接受', '不能', '自己']"
345,[]
346,"['無聊', '來亂', '不保護', '比較', '女友', '分手', '下去', '自己']"
347,"['正應', '吸引', '反而', '工具', '不要', '很多']"
348,"['浮木', '狀態', '一點後應', '朋友', '只是', '目前']"
349,[]
350,"['拋棄', '很難', '女友', '一起']"
351,"['以後生', '女兒', '步上後塵', '智商', '不高', '概率', '可能']"
352,"['男其心', '可議', '來講', '這麼', '分手', '不堪', '真的']"
353,['圖什麼']
354,['在意']
355,"['呵呵', '那麼', '前男友', '..', '妖魔化', '在意', '不要']"
356,"['要生', '下來', '小孩', '不成']"
357,"['墮掉', '正確', '決定']"
358,"['實際', '情況', '片面', '眼光', '知道']"
359,"['前任', '成功']"
360,"['心裡會', '一點點', '浪費', '時間', '女生', '在意', '人家', '一天', '只要', '不要']"
361,"['不在意', '找到', '完全']"
362,"['在乎', '對方', '變造賴', '紀錄', '這內容', '男友']"
363,"['男繼續', '個律', '師告', '拿出']"
364,"['記錄', '認證', '隱瞞', 'XD', '劣根性', '女友', '好笑', '真的']"
365,"['繼續', '不在意', '在意']"
366,[]
367,"['裡面', '工具箱', '而已', '之一', '只是', '可能']"
368,"['難道', '要生', '早早', '分手', '小孩', '不用', '接受', '不能']"
369,"['下來', '還是', '擁有', '好的關', '建議', '備案', '朋友']"
370,"['現任', '再求', '弄掉', '出入', '小心', '安全', '有些']"
371,"['兩種', '可怕']"
372,['看戲']
373,"['解決', '問題', '所有', '可以']"
374,"['這男', '花點', '好惹', '找人']"
375,"['當作', '沒有', '有生']"
376,"['過去', '改變', '著眼', '控制']"
377,[]
378,"['好問', '在意']"
379,['求上車']
380,"['什麼', '在意']"
381,"['一種', '這個', '條件', '幾個', '男友', '跟前', '差不多', '可能']"
382,"['ing', '多慮', '多幹', '而已', '不必', '可能']"
383,"['這個', '眾多渣', '前男友', '幹嘛', '男方', '女生', '分手', '原因']"
384,"['講的', '那麼', '清高', '自己']"
385,"['那女', '現在', '一個', '這麼', '什麼', '遇到', '只是']"
386,"['人要', '這點', '女生', '男人', '不要', '很多', '知道']"
387,"['幾歲', '還年', '二婚', '市場', '在意', '等到', '可以']"
388,"['紀和條件', '想生', '墮胎', '很常見', '不想', '根本', '知道']"
389,['pu']
390,"['以為', '吞下去', '居然', '遇到', '不想', '是不是', '自己']"
391,"['真愛了', '呵呵']"
392,"['真命天女', '問題', '神聖化', '過就', 'ooxx', '..', '還是', '那句', '女人', '最大']"
393,"['人類', '這種', '會受', '生物性', '女方', '而已', '理解', '生物', '只是']"
394,"['影響', '仙女', '神仙']"
395,"['現在', '放棄', '這件', '過不去', '早點', '分手', '就算', '不想']"
396,"['放過', '人家']"
397,"['太過', '高尚', '回收', '工作']"
398,"['還為', '打圓場', '接受', '分手', '不能']"
399,"['最好', '代表', '目前']"
400,"['前男友', '來亂', '還好', '願意', '過去', '還算', '坦承', '女生']"
401,"['標題', '說明', '在意', '一切']"
402,"['特別', '喜歡', '打炮']"
403,"['以後結婚', '嘻嘻']"
404,[]
405,['直接']
406,"['大徹', '很難', '那個', '改變', '大悟', '除非', '不然', '未必']"
407,[]
408,"['公平', '一次']"
409,"['自助餐', '女權', '話術', '男帽', '阿姨', '乖乖', '不分', '回收']"
410,"['前男友', '成渣', '抹黑', '搞不好', '正常人', '之前']"
411,"['找長', '期飯票', '上岸', '手段']"
412,"['這女', '哪裡', '..', '在意', '真的', '不要', '而且']"
413,"['從良', '兩字滿', '精準', '內心', '小劇場', '男方', '一切都是']"
414,"['這麼', '簡單']"
415,"['講渣', '現在', '男有', '時侯', '不用']"
416,"['寧願', '講渣', '回收', '不要']"
417,"['無解', '在意', '分手']"
418,"['恩愛啊', '繼續講', '這種', '騷擾', '羞辱', '最好', '甚至', '一直', '部分']"
419,"['提告', '覺得', '麻煩', '放過', '不要', '可以']"
420,"['反擊', '孬樣', '他講', '釋懷', '看看', '很多']"
421,"['這種', '更雷', '腦子', '哪天', '女生', '公主', '正常']"
422,"['那麼', '簡單', '分手', '拖累', '家庭', '孩子']"
423,"['心裡', '消不掉', '早點', '認清事實', '以後光整', '疙瘩', '不然']"
424,['吵架']
425,"['這樣', '弱弱', '釋懷', '坐等', '男友', '女生', '以前', '不要']"
426,"['業者', '悲歌', '哈哈', '回收']"
427,"['扶不起', '人覺', '那種', '攻擊', '沒有', '糟蹋', '自主', '遇到']"
428,"['擊意識', '樣子', '比對方', '攻擊', '氣吧', '..', '人生', '本身']"
429,"['那種', '弱感', '更會', '人聯', '對方', '過的', '形容', '物品', '真的', '想到', '使用']"
430,"['氣勢', '調適', '急著', '女生', '想法', '本身', '所以', '自己']"
431,"['男友', '想法']"
432,"['過去', '五個', '發生關', '不會', '拒絕', '隨便', '別人', '男人', '其中']"
433,"['一個', '現在', '還以', '隨便', '給人', '感覺', '欺辱', '所有物', '很多']"
434,"['要學會', '獨立', '界線', '女生']"
435,"['錯過', '女孩', '有事', '朋友']"
436,"['更無法', '釋懷', '模模糊糊', '男友', '不然', '自己']"
437,"['種子', '在意', '分手']"
438,"['要長', '不好', '得到']"
439,['不敢']
440,['過去']
441,"['過去', '前男友', '當狗', '很難']"
442,"['跨不過', '道坎', '分手']"
443,"['應該', '難忍', '表弟', '羞辱', '真的']"
444,"['介紹給', '談順', '現任', '女生']"
445,"['一個', '時間', '兩人', '敞開', '心胸']"
446,"['疙瘩', '分手']"
447,"['乾脆', '這篇', '看來', '還是', '婚前', '上床', '女生', '婚姻', '不要']"
448,"['墮胎', '還比較', '戴套', '吃藥', '100%', '但出', '避孕', '不管', '正常']"
449,['女生']
450,"['花錢', '處理', '前男友']"
451,"['onsun', '搶手', '變得', '女生', '不好', '地方']"
452,"['估計', '連這個', '現任', '不會', '遇到', '根本']"
453,"['去驗', '伴侶', '多項', '性病', '任性', '一起']"
454,"['務必', '等驗', '完應', '答案', '感情', '健康', '放在', '之前']"
455,"['無套', '一炮', '女友', '小心', '朋友', '自己']"
456,"['不會', '前面', '兄弟']"
457,"['友多', '戴套', '愛滋是', '遲早', '機率', '菜花', '感染']"
458,"['這位', '騙不騙', '你好', '可惜', '朋友', '只是']"
459,"['變成', '這麼', 'EZ', '分手', '口中', '只要']"
460,"['擔心', '那麼', '朋友']"
461,"['會上', '來問', '在意']"
462,"['封鎖', '應該', '搬家', '最快', '直接']"
463,"['笑死人', '香爐', '當寶', '接盤俠', '北港', '真的']"
464,"['娼女', '多重性', '伴侶', '要驗', '搶手', '沒人要', '性病', '分手', '真的', '一下']"
465,"['趕緊', '回收']"
466,"['上別', '上過', '說成', '破麻', '男人', '女人', '很多', '有些']"
467,"['這個', '破麻', '殊不知', '流水', '一份', '自己']"
468,"['單純', '一兩個', '搞過', '搞不好', '五六', '女友', '就算']"
469,"['咖唄', '大家']"
470,"['腦子', '原諒', '繼續', '漂亮', '不好', '一切', '生活', '可以']"
471,"['現在', '找個', '幹過', '應該', '成年', '不然', '很少', '女人', '可能']"
472,"['喜歡', '當多個', '沒什麼', '看不上', '兄弟', '人家', '根本']"
473,"['運氣', '成長', '現代人', '下一個', '毛病', '把握']"
474,"['還會', '前男友', '配不上', '生育能力', '在意', '朋友', '事情']"
475,"['會上', '來問', '介意']"
476,"['願意', '治療', '過去', '看法', '前提']"
477,"['全全', '不會', '連單', '那種', '男生', '聊天', '除非', '不行', '其他']"
478,"['免談', '知情', '同意', '不到']"
479,"['這樣', '對方', '改變', '只有', '所以']"
480,[]
481,"['這樣', '男有', '什麼', '一樣', '那些']"
482,"['懷孕', '墮胎', '贏了', '一任', '做到', '只要', '不要']"
483,"['這種', '以後記', '得驗', 'nba']"
484,"['玩爛', '業啊', '回收', '只能']"
485,"['女生', '過去', '看過', '經驗', '這種', '但是']"
486,['軟而']
487,"['應該', '最後還', '不會', '拒絕']"
488,"['不會', '怎麼', '拒絕', '討好', '每段', '人格', '公主', '不知']"
489,"['全心投入', '情都', '人財', '兩失', '次數', '變成', '濫情']"
490,"['自艾', '楊花', '自憐', '什麼', '玩玩', '水性', '而已', '男人']"
491,"['總是', '現在', '這個', '碰到', '朋友']"
492,"['不論', '多愛', '一點', '男女', '自己']"
493,['奶大']
494,"['生下', '不然']"
495,"['聽起', '解決', '那個', '真要', '好像']"
496,['進去']
497,"['條件', '很爛', '破鞋', '是不是']"
498,"['很難', '哪一點', '解決', '不介意', '在意', '才能', '一下', '分析', '自己']"
499,"['不會', '所愛的', '過去', '聽樓', '魯蛇們', '可悲', '在意', '男人', '根本']"
500,"['蠢話', '還是', '真愛', '相信']"
501,"['在意', '這有', '什麼', '開放樓', '報名', '放生']"
502,"['分比', '殘局', '表弟', '表哥', '收拾', '道理', '每天']"
503,"['性別', '互換', '妥妥']"
504,"['看開', '幾歲', '還這麼', '男方', '幼稚', '自己']"
505,"['外防', '一個', '保護', '現在', '認定', '太差', '好人', '朋友', '需要', '可以']"
506,"['保護', '對方', '這是', '朋友', '正派', '好事', '可以']"
507,"['介意', '不介意']"
508,"['分開', '試試', '也許', '感覺', '一年']"
509,"['性別', '互換', '經歷', '還有', '胎史', '問女', '交往', '而且']"
510,"['接受', '可以']"
511,"['做什麼', '無濟', '現任', '難保不會', '以後言語', '介意', '女方', '暴力']"
512,"['還是', '頭來', '比較', '揶揄', '分手']"
513,"['男生女生', '愛到', '慘死', '又爛', '漂亮', '老人', '真的', '容易']"
514,"['哪個', '墮胎', '墮過', '這麼', '覺得', '女生', '在意']"
515,"['不夠', '自尊', '放手', '不如']"
516,"['還敢', '現任']"
517,"['女生', '個性', '曾經', '男友', '朋友']"
518,"['墮胎', '拋棄', '沒動', '過感', '女生', '根本', '有些', '其中']"
519,"['情當', '當街', '鬧講', '講的', '前女友', '房事', '女生']"
520,"['放棄', '很帥', '請問', '怎麼', '介意', '男友', '不想', '朋友']"
521,"['感覺', '介意']"
522,"['again', '結案', '過去', '女友', '女生', '遇到', '人家', '知道', '自己']"
523,"['輕易', '煽動', '檢視', '好好', '朋友', '可能', '自己']"
524,"['來給', '養貓', '生出', '不然', '朋友']"
525,[]
